Role Name, Title, Description
roles/binaryauthorization.policyViewer,  Binary Authorization Policy Viewer,  Viewer of Binary Authorization Policy
roles/binaryauthorization.serviceAgent,  Binary Authorization Service Agent,  Can read Notes and Occurrences from the Container Analysis Service to find and verify signatures.
roles/browser,  Browser,  Access to browse GCP resources.
roles/chat.owner,  Chat Bots Owner,  Can view and modify bot configurations
roles/chat.reader,  Chat Bots Viewer,  Can view bot configurations
roles/chroniclesm.admin,  Chronicle Service Admin,  Admins can view and modify Chronicle service details.
roles/chroniclesm.viewer,  Chronicle Service Viewer,  Viewers can see Chronicle service details but not change them.
roles/cloudasset.owner,  Cloud Asset Owner,  Full access to cloud assets metadata
roles/cloudasset.serviceAgent,  Cloud Asset Service Agent,  Gives Cloud Asset service agent permissions to Cloud Storage and BigQuery for exporting Assets, and permission to publish to Cloud Pub/Sub topics for Asset Real Time Feed.
roles/cloudasset.viewer,  Cloud Asset Viewer,  Read only access to cloud assets metadata
roles/cloudbuild.builds.approver,  Cloud Build Approver,  Can approve or reject pending builds.
roles/cloudbuild.builds.builder,  Cloud Build Service Account,  Can perform builds
roles/cloudbuild.builds.editor,  Cloud Build Editor,  Can create and cancel builds
roles/cloudbuild.builds.viewer,  Cloud Build Viewer,  Can view builds
roles/cloudbuild.integrationsEditor,  Cloud Build Integrations Editor,  Can update Integrations
roles/cloudbuild.integrationsOwner,  Cloud Build Integrations Owner,  Can create/delete Integrations
roles/cloudbuild.integrationsViewer,  Cloud Build Integrations Viewer,  Can view Integrations
roles/cloudbuild.serviceAgent,  Cloud Build Service Agent,  Gives Cloud Build service account access to managed resources.
roles/cloudbuild.workerPoolEditor,  Cloud Build WorkerPool Editor,  Can update and view WorkerPools
roles/cloudbuild.workerPoolOwner,  Cloud Build WorkerPool Owner,  Can create, delete, update, and view WorkerPools
roles/cloudbuild.workerPoolUser,  Cloud Build WorkerPool User,  Can run builds in the WorkerPool
roles/cloudbuild.workerPoolViewer,  Cloud Build WorkerPool Viewer,  Can view WorkerPools
roles/cloudconfig.admin,  Firebase Remote Config Admin,  Full access to Firebase Remote Config resources.
roles/cloudconfig.viewer,  Firebase Remote Config Viewer,  Read access to Firebase Remote Config resources.
roles/clouddebugger.agent,  Cloud Debugger Agent,  Cloud Debugger agents are allowed to register and provide debug snapshot data.
roles/clouddebugger.user,  Cloud Debugger User,  User Access to Cloud Debugger.  Can create, delete and view snapshots and logpoints.
roles/clouddeploy.admin,  Cloud Deploy Admin,  Full control of Cloud Deploy resources.
roles/clouddeploy.approver,  Cloud Deploy Approver,  Permission to approve or reject rollouts.
roles/clouddeploy.developer,  Cloud Deploy Developer,  Permission to manage deployment configuration without permission to access operational resources, such as targets.
roles/clouddeploy.jobRunner,  Cloud Deploy Runner,  Permission to execute Cloud Deploy work without permission to deliver to a target.
roles/clouddeploy.operator,  Cloud Deploy Operator,  Permission to manage deployment configuration.
roles/clouddeploy.releaser,  Cloud Deploy Releaser,  Permission to create Cloud Deploy releases and rollouts.
roles/clouddeploy.serviceAgent,  Cloud Deploy Service Agent,  Gives Cloud Deploy Service Account access to managed resources.
roles/clouddeploy.viewer,  Cloud Deploy Viewer,  Can view Cloud Deploy resources.
roles/cloudfunctions.admin,  Cloud Functions Admin,  Full access to functions, operations and locations.
roles/cloudfunctions.developer,  Cloud Functions Developer,  Read and write access to all functions-related resources.
roles/cloudfunctions.invoker,  Cloud Functions Invoker,  Ability to invoke HTTP functions with restricted access.
roles/cloudfunctions.serviceAgent,  Cloud Functions Service Agent,  Gives Cloud Functions service account access to managed resources.
roles/cloudfunctions.viewer,  Cloud Functions Viewer,  Read-only access to functions and locations.
roles/cloudiot.admin,  Cloud IoT Admin,  Full control of all Cloud IoT resources and permissions.
roles/cloudiot.deviceController,  Cloud IoT Device Controller,  Access to update the device configuration, but not to create or delete devices.
roles/cloudiot.editor,  Cloud IoT Editor,  Read-write access to all Cloud IoT resources.
roles/cloudiot.provisioner,  Cloud IoT Provisioner,  Access to create and delete devices from registries, but not to modify the registries, and enable devices to publish to topics associated with IoT registry.
roles/cloudiot.serviceAgent,  Cloud IoT Core Service Agent,  'Grants the ability to manage Cloud IoT Core resources, including publishing data to Cloud Pub/Sub and writing device activity logs to Stackdriver. Warning: If this role is removed from the Cloud IoT service account, Cloud IoT Core will be unable to publish data or write device activity logs.'
roles/cloudiot.viewer,  Cloud IoT Viewer,  Read-only access to all Cloud IoT resources.
roles/cloudjobdiscovery.admin,  Admin,  Access to Cloud Talent Solution Self-Service Tools.
roles/cloudjobdiscovery.jobsEditor,  Job Editor,  Write access to all job data in Cloud Talent Solution.
roles/cloudjobdiscovery.jobsViewer,  Job Viewer,  Read access to all job data in Cloud Talent Solution.
roles/cloudjobdiscovery.profilesEditor,  Profile Editor,  Write access to all profile data in Cloud Talent Solution.
roles/cloudjobdiscovery.profilesViewer,  Profile Viewer,  Read access to all profile data in Cloud Talent Solution.
roles/cloudkms.admin,  Cloud KMS Admin,  Enables management of crypto resources.
roles/cloudkms.cryptoKeyDecrypter,  Cloud KMS CryptoKey Decrypter,  Enables Decrypt operations
roles/cloudkms.cryptoKeyEncrypter,  Cloud KMS CryptoKey Encrypter,  Enables Encrypt operations
roles/cloudkms.cryptoKeyEncrypterDecrypter,  Cloud KMS CryptoKey Encrypter/Decrypter,  Enables Encrypt and Decrypt operations
roles/cloudkms.cryptoOperator,  Cloud KMS Crypto Operator,  Enables all Crypto Operations.
roles/cloudkms.importer,  Cloud KMS Importer,  Enables ImportCryptoKeyVersion, CreateImportJob, ListImportJobs, and GetImportJob operations
roles/cloudkms.publicKeyViewer,  Cloud KMS CryptoKey Public Key Viewer,  Enables GetPublicKey operations
roles/cloudkms.serviceAgent,  Cloud KMS Service Agent,  Gives Cloud KMS service account access to managed resources.
roles/cloudkms.signer,  Cloud KMS CryptoKey Signer,  Enables Sign operations
roles/cloudkms.signerVerifier,  Cloud KMS CryptoKey Signer/Verifier,  Enables Sign, Verify, and GetPublicKey operations
roles/cloudkms.verifier,  Cloud KMS CryptoKey Verifier,  Enables Verify and GetPublicKey operations
roles/cloudmigration.inframanager,  Velostrata Manager,  Ability to create and manage Compute VMs to run Velostrata Infrastructure
roles/cloudmigration.storageaccess,  Velostrata Storage Access,  Ability to access migration storage
roles/cloudmigration.velostrataconnect,  Velostrata Manager Connection Agent,  Ability to set up connection between Velostrata Manager and Google
roles/cloudoptimization.serviceAgent,  Cloud Optimization Service Agent,  Grants Cloud Optimization Service Account access to read and write data in the user project.
roles/cloudprivatecatalog.consumer,  Catalog Consumer,  Can browse catalogs in the target resource context.
roles/cloudprivatecatalogproducer.admin,  Catalog Admin,  Can manage catalog and view its associations.
roles/cloudprivatecatalogproducer.manager,  Catalog Manager,  Can manage associations between a catalog and a target resource.
roles/cloudprivatecatalogproducer.orgAdmin,  Catalog Org Admin,  Can manage catalog org settings.
roles/cloudprofiler.agent,  Cloud Profiler Agent,  Cloud Profiler agents are allowed to register and provide the profiling data.
roles/cloudprofiler.user,  Cloud Profiler User,  Cloud Profiler users are allowed to query and view the profiling data.
roles/cloudscheduler.admin,  Cloud Scheduler Admin,  Full access to jobs and executions.
roles/cloudscheduler.jobRunner,  Cloud Scheduler Job Runner,  Access to run jobs.
roles/cloudscheduler.serviceAgent,  Cloud Scheduler Service Agent,  Grants Cloud Scheduler Service Account access to manage resources.
roles/cloudscheduler.viewer,  Cloud Scheduler Viewer,  Get and list access to jobs, executions, and locations.
roles/cloudsecurityscanner.editor,  Web Security Scanner Editor,  Full access to all Web Security Scanner resources
roles/cloudsecurityscanner.runner,  Web Security Scanner Runner,  Read access to Scan and ScanRun, plus the ability to start scans
roles/cloudsecurityscanner.viewer,  Web Security Scanner Viewer,  Read access to all Web Security Scanner resources
roles/cloudsql.admin,  Cloud SQL Admin,  Full control of Cloud SQL resources.
roles/cloudsql.client,  Cloud SQL Client,  Connectivity access to Cloud SQL instances.
roles/cloudsql.editor,  Cloud SQL Editor,  Full control of existing Cloud SQL instances excluding modifying users, SSL certificates or deleting resources.
roles/cloudsql.instanceUser,  Cloud SQL Instance User,  Role allowing access to a Cloud SQL instance
roles/cloudsql.serviceAgent,  Cloud SQL Service Agent,  Grants Cloud SQL access to services and APIs in the user project
roles/cloudsql.viewer,  Cloud SQL Viewer,  Read-only access to Cloud SQL resources.
roles/cloudsupport.admin,  Support Account Administrator,  Allows management of a support account without giving access to support cases.
roles/cloudsupport.techSupportEditor,  Tech Support Editor,  Full read-write access to technical support cases (applicable for GCP Customer Care and Maps support).
roles/cloudsupport.techSupportViewer,  Tech Support Viewer,  Read-only access to technical support cases (applicable for GCP Customer Care and Maps support).
roles/cloudsupport.viewer,  Support Account Viewer,  Read-only access to details of a support account. This does not allow viewing cases.
roles/cloudtasks.admin,  Cloud Tasks Admin,  Full access to queues and tasks.
roles/cloudtasks.enqueuer,  Cloud Tasks Enqueuer,  Access to create tasks.
roles/cloudtasks.queueAdmin,  Cloud Tasks Queue Admin,  Admin access to queues.
roles/cloudtasks.serviceAgent,  Cloud Tasks Service Agent,  Grants Cloud Tasks Service Account access to manage resources.
roles/cloudtasks.taskDeleter,  Cloud Tasks Task Deleter,  Access to delete tasks.
roles/cloudtasks.taskRunner,  Cloud Tasks Task Runner,  Access to run tasks.
roles/cloudtasks.viewer,  Cloud Tasks Viewer,  Get and list access to tasks, queues, and locations.
roles/cloudtestservice.testAdmin,  Firebase Test Lab Admin,  Full access to all Test Lab features
roles/cloudtestservice.testViewer,  Firebase Test Lab Viewer,  Read access to Test Lab features
roles/cloudtpu.serviceAgent,  Cloud TPU V2 API Service Agent,  Give Cloud TPUs service account access to managed resources
roles/cloudtrace.admin,  Cloud Trace Admin,  Admin access to Stackdriver Trace.
roles/cloudtrace.agent,  Cloud Trace Agent,  Agent access to Stackdriver Trace. Can write trace data.
roles/cloudtrace.user,  Cloud Trace User,  User access to Stackdriver Trace. Can view traces, insights and stats. Can create, list, view, and delete tasks.
roles/cloudtranslate.admin,  Cloud Translation API Admin,  Full access to all Cloud Translation resources
roles/cloudtranslate.editor,  Cloud Translation API Editor,  Editor of all Cloud Translation resources
roles/cloudtranslate.serviceAgent,  Cloud Translation API Service Agent,  Gives Cloud Translation Service Account access to consumer resources.
roles/cloudtranslate.user,  Cloud Translation API User,  User of Cloud Translation and AutoML models
roles/cloudtranslate.viewer,  Cloud Translation API Viewer,  Viewer of all Translation resources
roles/codelabapikeys.admin,  Codelab ApiKeys Admin,  Full access to API keys
roles/codelabapikeys.editor,  Codelab API Keys Editor,  This role can view and edit all properties of API keys.
roles/codelabapikeys.viewer,  Codelab API Keys Viewer,  This role can view all properties except change history of API keys.
roles/commerceoffercatalog.offersViewer,  Commerce Offer Catalog Offers Viewer,  Allows viewing offers
roles/commercepricemanagement.privateOffersAdmin,  Commerce Price Management Private Offers Admin,  Allows managing private offers
roles/commercepricemanagement.viewer,  Commerce Price Management Viewer,  Allows viewing offers, free trials, skus
roles/compliancescanning.ServiceAgent,  Compliance Scanning Service Agent,  Gives Compliance Scanning the access it needs to analyze containers and VMs for compliance and create occurrences using the Container Analysis API
roles/composer.ServiceAgentV2Ext,  Cloud Composer v2 API Service Agent Extension,  Cloud Composer v2 API Service Agent Extension is a supplementary role required to manage Composer v2 environments.
roles/composer.admin,  Composer Administrator,  Full control of Composer resources.
roles/composer.environmentAndStorageObjectAdmin,  Environment and Storage Object Administrator,  Full control of Cloud Composer environments and Cloud Storage objects.
roles/composer.environmentAndStorageObjectViewer,  Environment User and Storage Object Viewer,  Read access to Cloud Composer environments and Cloud Storage objects.
roles/composer.serviceAgent,  Cloud Composer API Service Agent,  Cloud Composer API service agent can manage environments.
roles/composer.sharedVpcAgent,  Composer Shared VPC Agent,  Role that should be assigned to Composer Agent service account in Shared VPC host project
roles/composer.user,  Composer User,  Read and use access to Composer resources.
roles/composer.worker,  Composer Worker,  Worker access to Composer. Intended for service accounts.
roles/compute.admin,  Compute Admin,  Full control of all Compute Engine resources.
roles/compute.imageUser,  Compute Image User,  Read and use image resources.
roles/compute.instanceAdmin,  Compute Instance Admin (beta),  Full control of Compute Engine instance resources.
roles/compute.instanceAdmin.v1,  Compute Instance Admin (v1),  Full control of Compute Engine instances, instance groups, disks, snapshots, and images. Read access to all Compute Engine networking resources.
roles/compute.loadBalancerAdmin,  Compute Load Balancer Admin,  Full control of Compute Engine resources related to load balancer.
roles/compute.networkAdmin,  Compute Network Admin,  Full control of Compute Engine networking resources.
roles/compute.networkUser,  Compute Network User,  Access to use Compute Engine networking resources.
roles/compute.networkViewer,  Compute Network Viewer,  Read-only access to Compute Engine networking resources.
roles/compute.orgFirewallPolicyAdmin,  Compute Organization Firewall Policy Admin,  Full control of Compute Engine Organization Firewall Policies.
roles/compute.orgFirewallPolicyUser,  Compute Organization Firewall Policy User,  View or use Compute Engine Firewall Policies to associate with the organization or folders.
roles/compute.orgSecurityPolicyAdmin,  Compute Organization Security Policy Admin,  Full control of Compute Engine Organization Security Policies.
roles/compute.orgSecurityPolicyUser,  Compute Organization Security Policy User,  View or use Compute Engine Security Policies to associate with the organization or folders.
roles/compute.orgSecurityResourceAdmin,  Compute Organization Resource Admin,  Full control of Compute Engine Firewall Policy associations to the organization or folders.
roles/compute.osAdminLogin,  Compute OS Admin Login,  Access to log in to a Compute Engine instance as an administrator user.
roles/compute.osLogin,  Compute OS Login,  Access to log in to a Compute Engine instance as a standard (non-administrator) user.
roles/compute.osLoginExternalUser,  Compute OS Login External User,  Access for an external user to set OS Login information associated with this organization. This role does not grant access to instances. External users must be granted one of the required OS Login IAM roles (https://cloud.google.com/compute/docs/instances/managing-instance-access#configure_users) in order to allow access to instances using SSH.
roles/compute.packetMirroringAdmin,  Compute packet mirroring admin,  Specify resources to be mirrored.
roles/compute.packetMirroringUser,  Compute packet mirroring user,  Use Compute Engine packet mirrorings.
roles/compute.publicIpAdmin,  Compute Public IP Admin,  Full control of public IP address management for Compute Engine.
roles/compute.securityAdmin,  Compute Security Admin,  Full control of Compute Engine security resources.
roles/compute.serviceAgent,  Compute Engine Service Agent,  Gives Compute Engine Service Account access to assert service account authority. Includes access to service accounts.
roles/compute.storageAdmin,  Compute Storage Admin,  Full control of Compute Engine storage resources.
roles/compute.viewer,  Compute Viewer,  Read-only access to get and list information about all Compute Engine resources, including instances, disks, and firewalls. Allows getting and listing information about disks, images, and snapshots, but does not allow reading the data stored on them.
roles/compute.xpnAdmin,  Compute Shared VPC Admin,  Can administer shared VPC network (XPN).
roles/consumerprocurement.entitlementManager,  Consumer Procurement Entitlement Manager,  Allows managing entitlements and enabling, disabling, and inspecting service states for a consumer project
roles/consumerprocurement.entitlementViewer,  Consumer Procurement Entitlement Viewer,  Allows inspecting entitlements and service states for a consumer project
roles/consumerprocurement.orderAdmin,  Consumer Procurement Order Administrator,  Allows managing purchases
roles/consumerprocurement.orderViewer,  Consumer Procurement Order Viewer,  Allows inspecting purchases
roles/contactcenterinsights.editor,  Contact Center AI Insights editor,  Grants read and write access to all Contact Center AI Insights resources.
roles/contactcenterinsights.serviceAgent,  Contact Center AI Insights Service Agent,  Allows Contact Center AI to read and write APIs including BigQuery, Dialogflow, and Storage.
roles/contactcenterinsights.viewer,  Contact Center AI Insights viewer,  Grants read access to all Contact Center AI Insights resources.
roles/container.admin,  Kubernetes Engine Admin,  Full management of Kubernetes Clusters and their Kubernetes API objects.
roles/container.clusterAdmin,  Kubernetes Engine Cluster Admin,  Management of Kubernetes Clusters.
roles/container.clusterViewer,  Kubernetes Engine Cluster Viewer,  Get and list access to GKE Clusters.
roles/container.developer,  Kubernetes Engine Developer,  Full access to Kubernetes API objects inside Kubernetes Clusters.
roles/container.hostServiceAgentUser,  Kubernetes Engine Host Service Agent User,  Allows the Kubernetes Engine service account in the host project to configure shared network resources for cluster management. Also gives access to inspect the firewall rules in the host project, and configure Cloud DNS resources.
roles/container.serviceAgent,  Kubernetes Engine Service Agent,  Gives Kubernetes Engine account access to manage cluster resources. Includes access to service accounts.
roles/container.viewer,  Kubernetes Engine Viewer,  Read-only access to Kubernetes Engine resources.
