"txId", "isin", "quantity", "customerId"
"ID00065","ISIN1018","7912","CUS1415"
"ID00066","ISIN1012","7037","CUS1169"
"ID00067","ISIN1113","1910","CUS1418"
"ID00068","ISIN1059","1501","CUS1113"
"ID00069","ISIN1146","7037","CUS1308"
"ID00070","ISIN1052","7435","CUS1335"
"ID00071","ISIN1129","4395","CUS1274"
"ID00072","ISIN1109","8334","CUS1066"
"ID00073","ISIN1082","5046","CUS1146"
"ID00074","ISIN1094","9747","CUS1304"
"ID00075","ISIN1020","2676","CUS1208"
"ID00076","ISIN1059","1156","CUS1440"
"ID00077","ISIN1008","3174","CUS1041"
"ID00078","ISIN1065","3195","CUS1130"
"ID00079","ISIN1127","1643","CUS1010"
"ID00080","ISIN1024","9066","CUS1341"
"ID00081","ISIN1097","6855","CUS1321"
"ID00082","ISIN1015","9433","CUS1490"
"ID00083","ISIN1014","6518","CUS1283"
"ID00084","ISIN1053","4816","CUS1493"
"ID00085","ISIN1067","6782","CUS1252"
"ID00086","ISIN1019","6522","CUS1251"
"ID00087","ISIN1065","1937","CUS1292"
"ID00088","ISIN1010","1396","CUS1342"
"ID00089","ISIN1134","5704","CUS1293"
"ID00090","ISIN1019","8879","CUS1190"
"ID00091","ISIN1101","7705","CUS1176"
"ID00092","ISIN1080","2224","CUS1033"
"ID00093","ISIN1142","3649","CUS1380"
"ID00094","ISIN1042","9017","CUS1057"
"ID00095","ISIN1145","1496","CUS1155"
"ID00096","ISIN1047","7695","CUS1000"
"ID00097","ISIN1107","6831","CUS1406"
"ID00098","ISIN1023","3385","CUS1116"
"ID00099","ISIN1005","6165","CUS1344"
"ID00100","ISIN1140","5627","CUS1012"
"ID00101","ISIN1081","8835","CUS1495"
"ID00102","ISIN1001","7007","CUS1108"
"ID00103","ISIN1118","8923","CUS1360"
"ID00104","ISIN1078","1573","CUS1269"
"ID00105","ISIN1029","1895","CUS1428"
"ID00106","ISIN1122","7244","CUS1417"
"ID00107","ISIN1146","5683","CUS1443"
"ID00108","ISIN1092","1909","CUS1047"
"ID00109","ISIN1044","6099","CUS1112"
"ID00110","ISIN1131","8658","CUS1355"
"ID00111","ISIN1082","6198","CUS1482"
"ID00112","ISIN1148","6244","CUS1013"
"ID00113","ISIN1009","8276","CUS1343"
"ID00114","ISIN1014","3691","CUS1137"
"ID00115","ISIN1119","4306","CUS1482"
"ID00116","ISIN1052","9866","CUS1059"
"ID00117","ISIN1137","3048","CUS1213"
"ID00118","ISIN1112","1758","CUS1144"
"ID00119","ISIN1078","1644","CUS1256"
"ID00120","ISIN1126","4693","CUS1481"
"ID00121","ISIN1131","9098","CUS1499"
"ID00122","ISIN1136","1277","CUS1031"
"ID00123","ISIN1008","1544","CUS1379"
"ID00124","ISIN1135","7584","CUS1413"
"ID00125","ISIN1009","2128","CUS1041"
"ID00126","ISIN1004","3208","CUS1131"
"ID00127","ISIN1099","2567","CUS1259"
"ID00128","ISIN1140","3824","CUS1230"
"ID00129","ISIN1083","9280","CUS1214"
"ID00130","ISIN1047","3804","CUS1402"
"ID00131","ISIN1133","4182","CUS1064"
"ID00132","ISIN1103","1160","CUS1042"
"ID00133","ISIN1121","4842","CUS1344"
"ID00134","ISIN1132","7508","CUS1384"
"ID00135","ISIN1032","7504","CUS1124"
"ID00136","ISIN1042","2886","CUS1098"
"ID00137","ISIN1127","2091","CUS1110"
"ID00138","ISIN1105","9248","CUS1308"
"ID00139","ISIN1135","5767","CUS1403"
"ID00140","ISIN1116","4254","CUS1150"
"ID00141","ISIN1101","6845","CUS1365"
"ID00142","ISIN1050","4793","CUS1042"
"ID00143","ISIN1012","3289","CUS1143"
"ID00144","ISIN1009","5811","CUS1327"
"ID00145","ISIN1036","3000","CUS1496"
"ID00146","ISIN1086","2355","CUS1063"
"ID00147","ISIN1012","7125","CUS1328"
"ID00148","ISIN1035","6175","CUS1219"
"ID00149","ISIN1035","6787","CUS1015"
"ID00150","ISIN1117","7209","CUS1058"
"ID00151","ISIN1035","8401","CUS1196"
"ID00152","ISIN1077","3317","CUS1155"
"ID00153","ISIN1068","3801","CUS1330"
"ID00154","ISIN1096","6805","CUS1105"
"ID00155","ISIN1002","3440","CUS1220"
"ID00156","ISIN1066","8520","CUS1172"
"ID00157","ISIN1035","9054","CUS1271"
"ID00158","ISIN1000","6656","CUS1116"
"ID00159","ISIN1143","8250","CUS1105"
"ID00160","ISIN1037","5880","CUS1300"
"ID00161","ISIN1080","8307","CUS1360"
"ID00162","ISIN1095","4117","CUS1430"
"ID00163","ISIN1031","9765","CUS1159"
"ID00164","ISIN1130","5568","CUS1164"
"ID00165","ISIN1090","2783","CUS1486"
"ID00166","ISIN1115","5220","CUS1027"
"ID00167","ISIN1091","8406","CUS1112"
"ID00168","ISIN1114","3916","CUS1336"
"ID00169","ISIN1024","7105","CUS1174"
"ID00170","ISIN1120","5730","CUS1395"
"ID00171","ISIN1106","9993","CUS1342"
"ID00172","ISIN1044","1917","CUS1106"
"ID00173","ISIN1139","9797","CUS1406"
"ID00174","ISIN1104","9810","CUS1445"
"ID00175","ISIN1043","1918","CUS1324"
"ID00176","ISIN1033","3811","CUS1158"
"ID00177","ISIN1121","3137","CUS1045"
"ID00178","ISIN1013","8902","CUS1360"
"ID00179","ISIN1004","4654","CUS1040"
"ID00180","ISIN1116","1098","CUS1134"
"ID00181","ISIN1031","8337","CUS1331"
"ID00182","ISIN1134","1803","CUS1429"
"ID00183","ISIN1079","9217","CUS1077"
"ID00184","ISIN1120","2614","CUS1307"
"ID00185","ISIN1083","4125","CUS1042"
"ID00186","ISIN1072","1366","CUS1210"
"ID00187","ISIN1018","2082","CUS1141"
"ID00188","ISIN1066","9143","CUS1387"
"ID00189","ISIN1001","9741","CUS1466"
"ID00190","ISIN1094","2756","CUS1481"
"ID00191","ISIN1127","9259","CUS1306"
"ID00192","ISIN1007","9536","CUS1065"
"ID00193","ISIN1016","8089","CUS1037"
"ID00194","ISIN1148","1905","CUS1461"
"ID00195","ISIN1144","6793","CUS1401"
"ID00196","ISIN1032","9338","CUS1064"
"ID00197","ISIN1031","9438","CUS1135"
"ID00198","ISIN1130","8438","CUS1310"
"ID00199","ISIN1144","5901","CUS1127"
"ID00200","ISIN1040","8582","CUS1372"
"ID00201","ISIN1010","1485","CUS1338"
"ID00202","ISIN1033","9251","CUS1277"
"ID00203","ISIN1133","7141","CUS1189"
"ID00204","ISIN1148","1648","CUS1356"
"ID00205","ISIN1011","3915","CUS1176"
"ID00206","ISIN1098","6772","CUS1202"
"ID00207","ISIN1121","7675","CUS1474"
"ID00208","ISIN1100","1940","CUS1201"
"ID00209","ISIN1063","9720","CUS1317"
"ID00210","ISIN1100","3996","CUS1327"
"ID00211","ISIN1142","2575","CUS1127"
"ID00212","ISIN1099","4529","CUS1474"
"ID00213","ISIN1064","6529","CUS1431"
"ID00214","ISIN1085","9446","CUS1009"
"ID00215","ISIN1118","7424","CUS1230"
"ID00216","ISIN1124","5974","CUS1211"
"ID00217","ISIN1014","8041","CUS1026"
"ID00218","ISIN1133","6428","CUS1059"
"ID00219","ISIN1099","5086","CUS1126"
"ID00220","ISIN1065","9125","CUS1141"
"ID00221","ISIN1133","6298","CUS1386"
"ID00222","ISIN1098","2253","CUS1383"
"ID00223","ISIN1124","5498","CUS1471"
"ID00224","ISIN1140","8925","CUS1063"
"ID00225","ISIN1126","7085","CUS1415"
"ID00226","ISIN1064","6441","CUS1085"
"ID00227","ISIN1015","5636","CUS1485"
"ID00228","ISIN1132","4064","CUS1500"
"ID00229","ISIN1098","5078","CUS1146"
"ID00230","ISIN1108","9444","CUS1009"
"ID00231","ISIN1021","5462","CUS1486"
"ID00232","ISIN1079","9681","CUS1448"
"ID00233","ISIN1117","8583","CUS1384"
"ID00234","ISIN1027","6966","CUS1486"
"ID00235","ISIN1028","6687","CUS1315"
"ID00236","ISIN1130","2357","CUS1047"
"ID00237","ISIN1053","9740","CUS1043"
"ID00238","ISIN1122","1639","CUS1229"
"ID00239","ISIN1140","3501","CUS1447"
"ID00240","ISIN1129","7217","CUS1487"
"ID00241","ISIN1067","5983","CUS1046"
"ID00242","ISIN1051","1568","CUS1490"
"ID00243","ISIN1080","8114","CUS1189"
"ID00244","ISIN1071","4096","CUS1328"
"ID00245","ISIN1111","2244","CUS1299"
"ID00246","ISIN1028","9102","CUS1038"
"ID00247","ISIN1037","3998","CUS1171"
"ID00248","ISIN1023","1570","CUS1293"
"ID00249","ISIN1027","9015","CUS1190"
"ID00250","ISIN1039","6148","CUS1093"
"ID00251","ISIN1047","7097","CUS1029"
"ID00252","ISIN1034","1965","CUS1214"
"ID00253","ISIN1045","2751","CUS1305"
"ID00254","ISIN1046","3392","CUS1122"
"ID00255","ISIN1119","5952","CUS1053"
"ID00256","ISIN1044","6436","CUS1104"
"ID00257","ISIN1015","1436","CUS1043"
"ID00258","ISIN1138","5884","CUS1308"
"ID00259","ISIN1140","2820","CUS1395"
"ID00260","ISIN1061","3777","CUS1272"
"ID00261","ISIN1036","1146","CUS1194"
"ID00262","ISIN1061","3725","CUS1148"
"ID00263","ISIN1066","6210","CUS1387"
"ID00264","ISIN1111","3757","CUS1023"
"ID00265","ISIN1023","4502","CUS1101"
"ID00266","ISIN1111","4876","CUS1355"
"ID00267","ISIN1072","8036","CUS1424"
"ID00268","ISIN1052","3516","CUS1295"
"ID00269","ISIN1035","2625","CUS1008"
"ID00270","ISIN1131","2547","CUS1229"
"ID00271","ISIN1114","4702","CUS1414"
"ID00272","ISIN1108","6913","CUS1028"
"ID00273","ISIN1123","6888","CUS1362"
"ID00274","ISIN1144","8118","CUS1262"
"ID00275","ISIN1047","8827","CUS1338"
"ID00276","ISIN1129","5626","CUS1238"
"ID00277","ISIN1131","3222","CUS1378"
"ID00278","ISIN1061","9149","CUS1036"
"ID00279","ISIN1106","8132","CUS1039"
"ID00280","ISIN1147","5348","CUS1042"
"ID00281","ISIN1085","1097","CUS1473"
"ID00282","ISIN1122","1747","CUS1415"
"ID00283","ISIN1024","5145","CUS1033"
"ID00284","ISIN1024","2517","CUS1401"
"ID00285","ISIN1131","1413","CUS1287"
"ID00286","ISIN1103","8332","CUS1216"
"ID00287","ISIN1052","3812","CUS1320"
"ID00288","ISIN1096","6764","CUS1474"
"ID00289","ISIN1023","8620","CUS1401"
"ID00290","ISIN1031","8719","CUS1267"
"ID00291","ISIN1089","5948","CUS1387"
"ID00292","ISIN1019","5525","CUS1332"
"ID00293","ISIN1056","1192","CUS1082"
"ID00294","ISIN1002","2449","CUS1347"
"ID00295","ISIN1055","3614","CUS1424"
"ID00296","ISIN1142","8215","CUS1261"
"ID00297","ISIN1039","5327","CUS1362"
"ID00298","ISIN1116","2333","CUS1019"
"ID00299","ISIN1126","7995","CUS1068"
"ID00300","ISIN1087","6796","CUS1060"
"ID00301","ISIN1123","9246","CUS1046"
"ID00302","ISIN1031","1343","CUS1332"
"ID00303","ISIN1077","8207","CUS1390"
"ID00304","ISIN1148","8721","CUS1093"
"ID00305","ISIN1023","2899","CUS1383"
"ID00306","ISIN1033","2285","CUS1219"
"ID00307","ISIN1037","7651","CUS1250"
"ID00308","ISIN1141","3845","CUS1365"
"ID00309","ISIN1056","4116","CUS1438"
"ID00310","ISIN1101","6975","CUS1219"
"ID00311","ISIN1059","5057","CUS1157"
"ID00312","ISIN1090","7256","CUS1073"
"ID00313","ISIN1051","4266","CUS1477"
"ID00314","ISIN1096","5144","CUS1348"
"ID00315","ISIN1129","7251","CUS1226"
"ID00316","ISIN1090","4747","CUS1453"
"ID00317","ISIN1129","1501","CUS1082"
"ID00318","ISIN1056","5803","CUS1097"
"ID00319","ISIN1041","7871","CUS1450"
"ID00320","ISIN1018","4209","CUS1268"
"ID00321","ISIN1051","3345","CUS1054"
"ID00322","ISIN1004","6444","CUS1078"
"ID00323","ISIN1126","6861","CUS1097"
"ID00324","ISIN1102","6204","CUS1498"
"ID00325","ISIN1083","9052","CUS1171"
"ID00326","ISIN1050","2187","CUS1307"
"ID00327","ISIN1107","3438","CUS1200"
"ID00328","ISIN1096","8674","CUS1146"
"ID00329","ISIN1030","3575","CUS1312"
"ID00330","ISIN1031","4790","CUS1038"
"ID00331","ISIN1130","1507","CUS1297"
"ID00332","ISIN1012","1966","CUS1154"
"ID00333","ISIN1067","8330","CUS1066"
"ID00334","ISIN1093","2369","CUS1358"
"ID00335","ISIN1031","7078","CUS1392"
"ID00336","ISIN1137","2185","CUS1098"
"ID00337","ISIN1028","5014","CUS1448"
"ID00338","ISIN1000","6664","CUS1005"
"ID00339","ISIN1097","6190","CUS1335"
"ID00340","ISIN1010","9341","CUS1273"
"ID00341","ISIN1118","4803","CUS1068"
"ID00342","ISIN1012","4823","CUS1050"
"ID00343","ISIN1034","7120","CUS1226"
"ID00344","ISIN1023","9743","CUS1301"
"ID00345","ISIN1132","2010","CUS1224"
"ID00346","ISIN1021","7829","CUS1122"
"ID00347","ISIN1017","7275","CUS1304"
"ID00348","ISIN1105","4758","CUS1150"
"ID00349","ISIN1133","9009","CUS1159"
"ID00350","ISIN1055","1018","CUS1445"
"ID00351","ISIN1041","4152","CUS1246"
"ID00352","ISIN1048","8228","CUS1355"
"ID00353","ISIN1100","8712","CUS1456"
"ID00354","ISIN1078","1516","CUS1297"
"ID00355","ISIN1012","2062","CUS1286"
"ID00356","ISIN1125","3639","CUS1305"
"ID00357","ISIN1104","3279","CUS1434"
"ID00358","ISIN1121","1877","CUS1419"
"ID00359","ISIN1129","1942","CUS1089"
"ID00360","ISIN1089","7590","CUS1222"
"ID00361","ISIN1026","5915","CUS1197"
"ID00362","ISIN1083","2806","CUS1141"
"ID00363","ISIN1047","2630","CUS1418"
"ID00364","ISIN1095","9031","CUS1371"
"ID00365","ISIN1083","4664","CUS1003"
"ID00366","ISIN1049","8496","CUS1204"
"ID00367","ISIN1075","7272","CUS1226"
"ID00368","ISIN1023","3376","CUS1132"
"ID00369","ISIN1052","2031","CUS1473"
"ID00370","ISIN1131","8871","CUS1362"
"ID00371","ISIN1049","8260","CUS1036"
"ID00372","ISIN1108","5760","CUS1341"
"ID00373","ISIN1006","3938","CUS1300"
"ID00374","ISIN1075","9889","CUS1404"
"ID00375","ISIN1030","8104","CUS1134"
"ID00376","ISIN1086","5483","CUS1241"
"ID00377","ISIN1007","7170","CUS1046"
"ID00378","ISIN1090","5992","CUS1184"
"ID00379","ISIN1062","7027","CUS1409"
"ID00380","ISIN1059","8059","CUS1490"
"ID00381","ISIN1142","3826","CUS1344"
"ID00382","ISIN1030","2829","CUS1128"
"ID00383","ISIN1148","9800","CUS1493"
"ID00384","ISIN1041","8232","CUS1455"
"ID00385","ISIN1074","9605","CUS1352"
"ID00386","ISIN1135","1538","CUS1008"
"ID00387","ISIN1098","6377","CUS1187"
"ID00388","ISIN1084","8917","CUS1484"
"ID00389","ISIN1100","3835","CUS1142"
"ID00390","ISIN1113","4056","CUS1491"
"ID00391","ISIN1049","4325","CUS1105"
"ID00392","ISIN1144","3111","CUS1458"
"ID00393","ISIN1124","1131","CUS1312"
"ID00394","ISIN1087","7298","CUS1101"
"ID00395","ISIN1134","4765","CUS1388"
"ID00396","ISIN1058","5630","CUS1241"
"ID00397","ISIN1111","6337","CUS1024"
"ID00398","ISIN1042","9410","CUS1359"
"ID00399","ISIN1120","1653","CUS1392"
"ID00400","ISIN1143","2809","CUS1098"
"ID00401","ISIN1105","1085","CUS1423"
"ID00402","ISIN1138","1853","CUS1275"
"ID00403","ISIN1002","7679","CUS1257"
"ID00404","ISIN1104","8273","CUS1297"
"ID00405","ISIN1023","3767","CUS1345"
"ID00406","ISIN1123","9665","CUS1364"
"ID00407","ISIN1012","2800","CUS1398"
"ID00408","ISIN1123","2377","CUS1437"
"ID00409","ISIN1098","4027","CUS1090"
"ID00410","ISIN1004","9902","CUS1134"
"ID00411","ISIN1146","4620","CUS1071"
"ID00412","ISIN1097","3078","CUS1005"
"ID00413","ISIN1092","8109","CUS1105"
"ID00414","ISIN1054","4138","CUS1290"
"ID00415","ISIN1028","3212","CUS1413"
"ID00416","ISIN1114","3639","CUS1350"
"ID00417","ISIN1089","3350","CUS1328"
"ID00418","ISIN1057","6699","CUS1052"
"ID00419","ISIN1049","5876","CUS1004"
"ID00420","ISIN1053","6966","CUS1055"
"ID00421","ISIN1013","6014","CUS1168"
"ID00422","ISIN1123","9326","CUS1109"
"ID00423","ISIN1091","9429","CUS1407"
"ID00424","ISIN1093","6194","CUS1237"
"ID00425","ISIN1118","2338","CUS1063"
"ID00426","ISIN1050","6044","CUS1232"
"ID00427","ISIN1055","6137","CUS1337"
"ID00428","ISIN1039","9679","CUS1412"
"ID00429","ISIN1025","4228","CUS1370"
"ID00430","ISIN1097","8143","CUS1041"
"ID00431","ISIN1098","9253","CUS1114"
"ID00432","ISIN1076","5627","CUS1490"
"ID00433","ISIN1006","7421","CUS1419"
"ID00434","ISIN1118","8466","CUS1266"
"ID00435","ISIN1149","5308","CUS1402"
"ID00436","ISIN1082","7272","CUS1387"
"ID00437","ISIN1015","8180","CUS1467"
"ID00438","ISIN1089","3540","CUS1140"
"ID00439","ISIN1050","8837","CUS1225"
"ID00440","ISIN1050","5779","CUS1015"
"ID00441","ISIN1017","9644","CUS1453"
"ID00442","ISIN1048","1534","CUS1281"
"ID00443","ISIN1143","3074","CUS1302"
"ID00444","ISIN1147","8939","CUS1210"
"ID00445","ISIN1081","3901","CUS1448"
"ID00446","ISIN1135","9556","CUS1040"
"ID00447","ISIN1053","9428","CUS1274"
"ID00448","ISIN1124","9171","CUS1217"
"ID00449","ISIN1060","7615","CUS1473"
"ID00450","ISIN1055","8466","CUS1353"
"ID00451","ISIN1017","3037","CUS1017"
"ID00452","ISIN1118","9386","CUS1058"
"ID00453","ISIN1055","6629","CUS1415"
"ID00454","ISIN1101","4074","CUS1119"
"ID00455","ISIN1029","5682","CUS1427"
"ID00456","ISIN1117","5961","CUS1473"
"ID00457","ISIN1077","1442","CUS1176"
"ID00458","ISIN1057","3436","CUS1012"
"ID00459","ISIN1137","1522","CUS1203"
"ID00460","ISIN1083","2259","CUS1155"
"ID00461","ISIN1022","7759","CUS1318"
"ID00462","ISIN1088","4861","CUS1462"
"ID00463","ISIN1056","8776","CUS1005"
"ID00464","ISIN1102","2019","CUS1283"
"ID00465","ISIN1047","6415","CUS1466"
"ID00466","ISIN1149","9275","CUS1285"
"ID00467","ISIN1150","1348","CUS1057"
"ID00468","ISIN1047","4336","CUS1154"
"ID00469","ISIN1004","5020","CUS1476"
"ID00470","ISIN1130","9648","CUS1114"
"ID00471","ISIN1047","9745","CUS1207"
"ID00472","ISIN1121","2984","CUS1362"
"ID00473","ISIN1067","2449","CUS1439"
"ID00474","ISIN1087","2449","CUS1334"
"ID00475","ISIN1137","3168","CUS1288"
"ID00476","ISIN1029","8473","CUS1165"
"ID00477","ISIN1023","6001","CUS1441"
"ID00478","ISIN1050","2310","CUS1286"
"ID00479","ISIN1052","7763","CUS1101"
"ID00480","ISIN1089","8404","CUS1086"
"ID00481","ISIN1078","7559","CUS1168"
"ID00482","ISIN1129","8523","CUS1395"
"ID00483","ISIN1042","1167","CUS1317"
"ID00484","ISIN1046","1531","CUS1395"
"ID00485","ISIN1148","5441","CUS1379"
"ID00486","ISIN1149","4449","CUS1233"
"ID00487","ISIN1136","5300","CUS1115"
"ID00488","ISIN1123","9320","CUS1347"
"ID00489","ISIN1056","6857","CUS1010"
"ID00490","ISIN1042","8484","CUS1332"
"ID00491","ISIN1101","3231","CUS1005"
"ID00492","ISIN1124","5770","CUS1494"
"ID00493","ISIN1150","1888","CUS1266"
"ID00494","ISIN1042","9897","CUS1211"
"ID00495","ISIN1134","9368","CUS1342"
"ID00496","ISIN1128","2901","CUS1460"
"ID00497","ISIN1032","1857","CUS1302"
"ID00498","ISIN1065","7629","CUS1245"
"ID00499","ISIN1057","7879","CUS1285"
"ID00500","ISIN1062","5429","CUS1352"
"ID00501","ISIN1096","4640","CUS1345"
"ID00502","ISIN1033","1956","CUS1008"
"ID00503","ISIN1103","8285","CUS1128"
"ID00504","ISIN1013","3975","CUS1422"
"ID00505","ISIN1066","6081","CUS1450"
"ID00506","ISIN1114","8919","CUS1205"
"ID00507","ISIN1084","7549","CUS1223"
"ID00508","ISIN1060","9492","CUS1171"
"ID00509","ISIN1100","2086","CUS1366"
"ID00510","ISIN1124","3407","CUS1181"
"ID00511","ISIN1065","3693","CUS1027"
"ID00512","ISIN1042","8571","CUS1426"
"ID00513","ISIN1070","4233","CUS1007"
"ID00514","ISIN1020","3964","CUS1307"
"ID00515","ISIN1090","9064","CUS1166"
"ID00516","ISIN1053","8841","CUS1305"
"ID00517","ISIN1005","8849","CUS1321"
"ID00518","ISIN1091","3580","CUS1257"
"ID00519","ISIN1065","8736","CUS1326"
"ID00520","ISIN1058","1819","CUS1175"
"ID00521","ISIN1143","2465","CUS1008"
"ID00522","ISIN1049","7066","CUS1363"
"ID00523","ISIN1095","1334","CUS1230"
"ID00524","ISIN1005","2313","CUS1461"
"ID00525","ISIN1017","5353","CUS1449"
"ID00526","ISIN1030","5031","CUS1275"
"ID00527","ISIN1130","6622","CUS1478"
"ID00528","ISIN1019","5833","CUS1150"
"ID00529","ISIN1017","2477","CUS1383"
"ID00530","ISIN1038","6976","CUS1173"
"ID00531","ISIN1074","9646","CUS1047"
"ID00532","ISIN1129","7360","CUS1485"
"ID00533","ISIN1134","8714","CUS1455"
"ID00534","ISIN1021","2621","CUS1181"
"ID00535","ISIN1018","1024","CUS1408"
"ID00536","ISIN1068","3398","CUS1127"
"ID00537","ISIN1018","4473","CUS1487"
"ID00538","ISIN1074","1305","CUS1452"
"ID00539","ISIN1101","9083","CUS1269"
"ID00540","ISIN1037","9302","CUS1086"
"ID00541","ISIN1045","3078","CUS1494"
"ID00542","ISIN1078","7039","CUS1202"
"ID00543","ISIN1079","3996","CUS1259"
"ID00544","ISIN1072","7607","CUS1350"
"ID00545","ISIN1110","2236","CUS1332"
"ID00546","ISIN1102","1731","CUS1085"
"ID00547","ISIN1139","2937","CUS1489"
"ID00548","ISIN1094","3419","CUS1470"
"ID00549","ISIN1007","8815","CUS1083"
"ID00550","ISIN1005","2048","CUS1455"
"ID00551","ISIN1024","7373","CUS1309"
"ID00552","ISIN1112","9766","CUS1397"
"ID00553","ISIN1094","7837","CUS1267"
"ID00554","ISIN1083","8435","CUS1059"
"ID00555","ISIN1102","7146","CUS1355"
"ID00556","ISIN1138","7345","CUS1477"
"ID00557","ISIN1061","5166","CUS1271"
"ID00558","ISIN1090","6030","CUS1169"
"ID00559","ISIN1012","3843","CUS1373"
"ID00560","ISIN1111","8201","CUS1409"
"ID00561","ISIN1022","1717","CUS1479"
"ID00562","ISIN1125","8425","CUS1493"
"ID00563","ISIN1055","8112","CUS1257"
"ID00564","ISIN1103","4486","CUS1466"
"ID00565","ISIN1131","8289","CUS1463"
"ID00566","ISIN1087","5582","CUS1045"
"ID00567","ISIN1035","9153","CUS1161"
"ID00568","ISIN1007","7808","CUS1454"
"ID00569","ISIN1063","3193","CUS1292"
"ID00570","ISIN1037","9689","CUS1333"
"ID00571","ISIN1050","8462","CUS1126"
"ID00572","ISIN1066","6476","CUS1272"
"ID00573","ISIN1112","5768","CUS1481"
"ID00574","ISIN1036","8242","CUS1348"
"ID00575","ISIN1104","3129","CUS1174"
"ID00576","ISIN1105","8454","CUS1451"
"ID00577","ISIN1146","8614","CUS1398"
"ID00578","ISIN1053","8306","CUS1429"
"ID00579","ISIN1140","7574","CUS1479"
"ID00580","ISIN1102","1868","CUS1232"
"ID00581","ISIN1148","9048","CUS1012"
"ID00582","ISIN1020","4610","CUS1024"
"ID00583","ISIN1032","6476","CUS1345"
"ID00584","ISIN1055","2582","CUS1191"
"ID00585","ISIN1057","5686","CUS1234"
"ID00586","ISIN1139","3968","CUS1281"
"ID00587","ISIN1144","8949","CUS1482"
"ID00588","ISIN1087","1560","CUS1358"
"ID00589","ISIN1121","1362","CUS1274"
"ID00590","ISIN1048","1429","CUS1208"
"ID00591","ISIN1010","8553","CUS1254"
"ID00592","ISIN1100","4637","CUS1107"
"ID00593","ISIN1098","4760","CUS1405"
"ID00594","ISIN1015","1564","CUS1422"
"ID00595","ISIN1088","4744","CUS1446"
"ID00596","ISIN1097","6673","CUS1403"
"ID00597","ISIN1150","2096","CUS1296"
"ID00598","ISIN1117","1404","CUS1113"
"ID00599","ISIN1110","3561","CUS1393"
"ID00600","ISIN1097","2151","CUS1091"
"ID00601","ISIN1025","3036","CUS1101"
"ID00602","ISIN1097","1745","CUS1494"
"ID00603","ISIN1059","7055","CUS1244"
"ID00604","ISIN1074","5873","CUS1157"
"ID00605","ISIN1138","2682","CUS1398"
"ID00606","ISIN1052","5809","CUS1466"
